time,open,high,low,close,volume
2020-03-23 09:31:00,135.1792,135.1792,135.1792,135.1792,3297819
2020-03-23 09:32:00,135.18,137.0,134.88,137.0,514398
2020-03-23 09:33:00,137.46,137.46,137.46,137.46,620647
2020-03-23 09:34:00,137.45,137.91,137.33,137.54,296799
2020-03-23 09:35:00,137.1,137.1,137.1,137.1,382196
2020-03-23 09:36:00,137.13,137.13,136.836,136.836,282471
2020-03-23 09:37:00,136.8825,136.8825,136.51,136.51,256590
2020-03-23 09:38:00,136.092,136.092,135.59,135.59,209053
2020-03-23 09:39:00,135.44,135.44,135.01,135.3538,347774
2020-03-23 09:40:00,135.43,135.78,135.43,135.78,311655
2020-03-23 09:41:00,135.628,135.628,135.3632,135.525,230264
2020-03-23 09:42:00,135.4,135.4,135.0,135.0,274137
2020-03-23 09:43:00,134.99,135.03,134.9559,135.03,304679
2020-03-23 09:44:00,135.15,135.9051,135.15,135.9051,283119
2020-03-23 09:45:00,135.075,135.435,135.075,135.435,243808
2020-03-23 09:46:00,135.1873,135.26,135.1873,135.26,256275
2020-03-23 09:47:00,135.37,135.37,134.91,135.14,254807
2020-03-23 09:48:00,135.015,135.23,135.015,135.23,214929
2020-03-23 09:49:00,135.23,135.6628,135.23,135.6628,353196
2020-03-23 09:50:00,135.57,135.79,135.57,135.73,192241
2020-03-23 09:51:00,135.7499,135.7499,135.74,135.74,229538
2020-03-23 09:52:00,135.71,136.94,135.71,136.94,360312
2020-03-23 09:53:00,136.68,137.06,136.68,137.06,295451
2020-03-23 09:54:00,137.09,137.09,136.8179,136.8179,141733
2020-03-23 09:55:00,136.87,137.0,136.87,137.0,151403
2020-03-23 09:56:00,137.07,137.97,137.07,137.97,246603
2020-03-23 09:57:00,137.9691,138.36,137.9691,138.36,333135
2020-03-23 09:58:00,138.55,138.6253,138.55,138.6253,171465
2020-03-23 09:59:00,138.655,138.81,138.545,138.81,219205
2020-03-23 10:00:00,138.74,139.09,138.6,139.0,183079
2020-03-23 10:01:00,138.955,139.1957,138.82,138.945,206468
2020-03-23 10:02:00,138.945,138.98,138.4,138.5,206812
2020-03-23 10:03:00,138.48,138.75,138.34,138.66,188178
2020-03-23 10:04:00,138.7,138.83,138.33,138.73,154611
2020-03-23 10:05:00,138.75,138.97,138.53,138.85,295983
2020-03-23 10:06:00,138.85,139.05,138.56,139.02,255657
2020-03-23 10:07:00,139.04,139.08,138.65,138.9,132877
2020-03-23 10:08:00,138.89,139.2,138.88,139.13,135120
2020-03-23 10:09:00,139.145,139.145,138.61,138.84,89246
2020-03-23 10:10:00,138.9,139.005,138.717,138.9,146085
2020-03-23 10:11:00,138.905,139.01,138.76,138.82,148227
2020-03-23 10:12:00,138.8,139.44,138.6901,139.28,234127
2020-03-23 10:13:00,139.28,140.25,139.28,140.19,323834
2020-03-23 10:14:00,140.2399,140.57,140.03,140.4699,365044
